candidate_id,query,source_url,pmid,geo_accession,organism,cell_or_tissue,stimulus,dose,timepoint,control,direct_tnf_only,table_type,reported_gene_rows,gene_col,lfc_col,pvalue_col,padj_col,pipeline,paper_id,source_family_id,local_path,checksum,eligibility_status,exclusion_or_defer_reason,notes
TNFA-C11,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205853,,GSE205853,Homo sapiens,pancreatic beta cells,IL-1b/IFNg/TNFa cytokine exposure,not resolved,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE205853,GSE205853,,,excluded,not_tnf_only_direct_contrast,Excluded for current direct-perturbation gate because summary indicates proinflammatory cytokine mixture/functional screen rather than TNF-only DEG table. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence.
TNFA-C12,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326789,,GSE326789,Homo sapiens,HaCaT keratinocytes,TNF-alpha pathway / inflammatory condition,50 ng/mL from GEO hit context,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE326789,GSE326789,,,deferred,full_deg_table_not_verified,"High-signal new HaCaT TNF-alpha pathway study; full direct TNF-vs-control DEG table not verified. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C13,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282444,,GSE282444,Homo sapiens,intestinal epithelial organoids/cells,inflammatory encounter/TNF candidate,not resolved,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE282444,GSE282444,,,deferred,full_deg_table_not_verified,"Search hit relevant to inflammatory cytokine memory; direct TNF-only full DEG evidence unresolved. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C14,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272635,,GSE272635,Mus musculus,microglial cells,LPS-induced pro-inflammatory factors including TNF-alpha,not applicable,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE272635,GSE272635,,,excluded,not_direct_tnfa_stimulation,"Excluded: LPS stimulation upstream of TNF expression, not direct TNF-alpha stimulation versus untreated/control. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence."
TNFA-C15,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234655,,GSE234655,Mus musculus,macrophages,LPS tolerance inflammatory response,not applicable,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE234655,GSE234655,,,excluded,not_direct_tnfa_stimulation,"Excluded: LPS tolerance model, not TNF-alpha direct perturbation. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence."
TNFA-C16,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179974,,GSE179974,Mus musculus,macrophages,LPS tolerance/re-exposure,not applicable,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE179974,GSE179974,,,excluded,not_direct_tnfa_stimulation,"Excluded: LPS model, not direct TNF-alpha stimulation. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence."
TNFA-C17,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77888,,GSE77888,Mus musculus,liver,TNF-alpha antagonist plus partial hepatectomy,not applicable,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE77888,GSE77888,,,excluded,not_direct_tnfa_stimulation,"Excluded: in vivo antagonist/surgery design, not TNF-alpha stimulation versus untreated/control. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence."
TNFA-C18,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61220,,GSE61220,Homo sapiens,primary airway epithelial cells,TGF-beta / NF-kB context,not applicable,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE61220,GSE61220,,,excluded,not_direct_tnfa_stimulation,Excluded: TGF-beta program and NF-kB signaling context; not direct TNF-alpha stimulation. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence.
TNFA-C19,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286542,,GSE286542,Homo sapiens,fibroblasts,"NO/redox, TNF search hit only",not applicable,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE286542,GSE286542,,,excluded,full_deg_table_not_verified,Excluded: search hit does not establish direct TNF-alpha perturbation. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence.
TNFA-C20,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315350,,GSE315350,Homo sapiens,skin/acne inflammation model,"C. acnes inflammatory response, TNF measured",not applicable,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE315350,GSE315350,,,excluded,not_direct_tnfa_stimulation,"Excluded: pathogen/inflammation model, not direct TNF-alpha stimulation. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence."
TNFA-C21,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318064,,GSE318064,Homo sapiens,glioblastoma cells,low-dose TNF-alpha context,low dose; exact direct contrast unresolved,not resolved,untreated/control not verified,yes_unverified,series-level RNA-seq; as-published full DEG table not located,unknown,,,,,unknown_pipeline,GSE318064,GSE318064,,,deferred,full_deg_table_not_verified_after_required_surface_check,"Search hit explicitly names low-dose TNF-alpha and RNA-seq, but rescue inspection did not verify a full direct TNF-alpha-vs-control DEG table with gene/LFC/p-value columns."
TNFA-C22,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318134,,GSE318134,Homo sapiens,glioblastoma TRAF2-KD cells,TNF-alpha/TRAF2 knockdown context,not resolved,not resolved,untreated/control not verified,yes_unverified,series-level RNA-seq; direct TNF-only table not located,unknown,,,,,unknown_pipeline,GSE318134,GSE318134,,,deferred,direct_tnf_contrast_confounded_or_not_verified,TRAF2 knockdown/TNF biology; direct TNF-only untreated contrast and full as-published DEG table not verified.
TNFA-C23,ncbi_geo_tnfa_rnaseq_human_2025_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284785,,GSE284785,Homo sapiens,MSCs,TNF-alpha driven m6A modification,not resolved,not resolved,untreated/control not verified,yes_unverified,series-level RNA-seq; full DEG table not located,unknown,,,,,unknown_pipeline,GSE284785,GSE284785,,,deferred,full_deg_table_not_verified_after_required_surface_check,Title indicates TNF-alpha driven MSC biology; no verified full/near-full published direct TNF-vs-control DEG table in checked source surfaces.
TNFA-C24,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270176,,GSE270176,Homo sapiens,keratinocytes,type I IFN/anti-inflammatory condition,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE270176,GSE270176,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Anti-inflammatory/type-I-IFN keratinocyte hit; excluded because direct TNF-alpha stimulation versus untreated/control was not established.
TNFA-C25,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300028,,GSE300028,Homo sapiens,endothelial/macrophage liver fibrosis context,inflammatory macrophage infiltration / NF-kB context,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE300028,GSE300028,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,NF-kB/inflammation-adjacent hit; excluded because direct TNF-alpha-only treatment was not verified.
TNFA-C26,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315626,,GSE315626,Homo sapiens,blood-brain-barrier cells,BBB disrupting stimuli,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE315626,GSE315626,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,"Stimulus class is BBB-disrupting/inflammatory, not verified direct TNF-alpha-only stimulation."
TNFA-C27,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327840,,GSE327840,Homo sapiens,monocytes/THP-1/fibroblasts/smooth muscle/endothelial cells,LPS tolerance,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE327840,GSE327840,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Explicit LPS tolerance series; excluded by PRD firewall against LPS/NF-kB substitution.
TNFA-C28,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE320287,,GSE320287,Homo sapiens,not resolved,NF-kB transcriptional perturbation / p53 dynamics,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE320287,GSE320287,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,NF-kB biology hit but not direct TNF-alpha-only perturbation versus untreated/control.
TNFA-C29,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293257,,GSE293257,Homo sapiens,human synovial fibroblasts,TGF-beta1 and IL-1beta context,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE293257,GSE293257,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,TGF-beta/IL-1beta chemokine series; excluded because it is not direct TNF-alpha-only stimulation.
TNFA-C30,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291014,,GSE291014,Homo sapiens,T cells / Crohn disease rectum context,TL1A-activated T cells,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE291014,GSE291014,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,TNF-superfamily-adjacent TL1A hit; excluded because TNF-alpha-only stimulation is absent.
TNFA-C31,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301062,,GSE301062,Homo sapiens,endothelial/atherosclerosis context,SWAP70/CAV1 inflammatory signaling,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE301062,GSE301062,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Inflammation-adjacent endothelial hit; no verified direct TNF-alpha stimulation table.
TNFA-C32,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301742,,GSE301742,Homo sapiens,leukemia cells,TNF receptor-associated factor 7 biology,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE301742,GSE301742,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,"TRAF/TNF receptor pathway hit, not a direct TNF-alpha perturbation versus control."
TNFA-C33,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE330223,,GSE330223,Homo sapiens,immune samples,cytokine dysregulation in CVID,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE330223,GSE330223,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Clinical cytokine dysregulation hit; excluded from direct perturbation gate.
TNFA-C34,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328464,,GSE328464,Homo sapiens,macrophage/bladder pain context,CCR1-mediated macrophage switching,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE328464,GSE328464,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Macrophage inflammation hit; direct TNF-alpha-only contrast not established.
TNFA-C35,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317209,,GSE317209,Homo sapiens,endothelial/macrophage diabetic vasculature,TREM2 vascular inflammation,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE317209,GSE317209,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Inflammatory vascular RNA-seq hit but not verified direct TNF-alpha treatment.
TNFA-C36,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317005,,GSE317005,Homo sapiens,HSV-2 infection context,host-virus interaction,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE317005,GSE317005,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Infection-induced inflammatory hit; excluded because pathogen exposure is not direct TNF-alpha-only stimulation.
TNFA-C37,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307944,,GSE307944,Homo sapiens,THP-1 macrophages,AIEC infection,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE307944,GSE307944,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Macrophage infection model; excluded under pathogen/LPS/indirect firewall.
TNFA-C38,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE320415,,GSE320415,Homo sapiens,keratinocytes,UVB-induced inflammation,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE320415,GSE320415,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,UVB-induced inflammation/NF-kB hit; excluded because stimulus is not direct TNF-alpha.
TNFA-C39,ncbi_geo_tnfa_rnaseq_human_2026_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242941,,GSE242941,Homo sapiens,NK cells,glucocorticoid receptor activity/pro-inflammatory features,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE242941,GSE242941,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Immune pro-inflammatory phenotype hit; no direct TNF-alpha perturbation table verified.
TNFA-C40,ncbi_geo_tnfa_rnaseq_human_2025_relevance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291894,,GSE291894,Homo sapiens,platelet-production cell model,immune properties linked to KAT7 aging phenotype,not applicable,not resolved,not applicable,no,not direct TNF-only table,unknown,,,,,unknown_pipeline,GSE291894,GSE291894,,,excluded,not_direct_tnfa_stimulation_or_not_tnf_only,Immune-property search hit; excluded because direct TNF-alpha-only stimulation and full DEG table were not verified.
