gse_id,title,taxon,entrytype,n_ftp_files,ftp_error,ftp_files,interesting_files,has_de_keyword,known_active_paper_id,queries
GSE156223,Analyzing The Effects of ProL1 Upregulation On PC3 Global Gene Expression,Homo sapiens,GSE,3,,GSE156223_DESeq2_normalized_count_matrix.txt.gz;GSE156223_DESeq2_regularized_log_transformed.txt.gz;GSE156223_DESeq2_results_proL1.0hr_vs_WT.0hr.csv.gz,GSE156223_DESeq2_normalized_count_matrix.txt.gz;GSE156223_DESeq2_regularized_log_transformed.txt.gz;GSE156223_DESeq2_results_proL1.0hr_vs_WT.0hr.csv.gz,True,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE159437,Modeling Preeclampsia using human induced pluripotent stem cells [RNA-seq],Homo sapiens,GSE,1,,GSE159437_All_Samples_DESeq2_norm_filt.txt.gz,GSE159437_All_Samples_DESeq2_norm_filt.txt.gz,True,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE159480,Modeling Preeclampsia using human induced pluripotent stem cells,Homo sapiens,GSE,2,,GSE159480_RAW.tar;filelist.txt,,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE163023,Human first trimester villous cytotrophoblast: 8-10 gestational week vs. 12-14 gestational week,Homo sapiens,GSE,2,,GSE163023_RAW.tar;filelist.txt,,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE180371,Gene expression profile of human mesenchymal stromal cells (MSCs) exposed to hypoxic and pseudohypoxic preconditioning,Homo sapiens,GSE,3,,GSE180371_Normalized_gene_counts_matrix.txt.gz;GSE180371_RAW.tar;filelist.txt,GSE180371_Normalized_gene_counts_matrix.txt.gz,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE197151,Hypoxia differentially accelerates cognitive impairment related features in cerebral cortex revealed by single cell sequencing in APP/PS1 mice,Mus musculus,GSE,2,,GSE197151_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE198157,Direct Inhibition of Tumor Hypoxia Response with Synthetic Transcriptional Repressors,Mus musculus; Homo sapiens,GSE,8,,GSE198157_4T1_raw_counts.csv.gz;GSE198157_RNA_seq_raw_counts_matrix.txt.gz;GSE198157_rep1-hypoxia-peaks.txt.gz;GSE198157_rep1-hypoxiaSTR-peaks.txt.gz;GSE198157_rep1-normoxia-peaks.txt.gz;GSE198157_rep2-hypoxia-peaks.txt.gz;GSE198157_rep2-hypoxiaSTR-peaks.txt.gz;GSE198157_rep2-normoxia-peaks.txt.gz,GSE198157_4T1_raw_counts.csv.gz;GSE198157_RNA_seq_raw_counts_matrix.txt.gz,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"" | hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE200739,mesendoderm differentiation with Hif-1a knockdown,Mus musculus,GSE,2,,GSE200739_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE203069,RORγ hijacks HIF-1α to promote peritoneal metastasis of gastric cancer,Homo sapiens,GSE,3,,GSE203069_AGS_DMSO_GSK805_genes_fpkm_expression.txt.gz;GSE203069_HGC27_Vector_RORC_genes_fpkm_expression.txt.gz;GSE203069_MKN45_normoxia_hypoxia_genes_fpkm_expression.txt.gz,GSE203069_AGS_DMSO_GSK805_genes_fpkm_expression.txt.gz;GSE203069_HGC27_Vector_RORC_genes_fpkm_expression.txt.gz;GSE203069_MKN45_normoxia_hypoxia_genes_fpkm_expression.txt.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE205249,H3K27me3 spreading organizes canonical PRC1 chromatin architecture to regulate developmental programs,Homo sapiens; Mus musculus,GSE,2,,GSE205249_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens | hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE211985,Pericytes contribute to pulmonary vascular remodeling via HIF2α signaling,Mus musculus,GSE,2,,GSE211985_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE218522,Gene expression following transverse aortic constriction in mice housed under normoxic or hypoxic conditions,Mus musculus,GSE,1,,GSE218522_RawCountsAnnotated.xlsx,GSE218522_RawCountsAnnotated.xlsx,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE220784,Gene expression profile at single cell level of hiPSC-derived lung airways epithelial cells upon knock-out of EHF in normoxia and in hypoxia,Homo sapiens,GSE,1,,GSE220784_raw_expression_matrix.csv.gz,GSE220784_raw_expression_matrix.csv.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE226454,Transcriptomic profile of embryoid bodies under hypoxia at single cell level,Mus musculus,GSE,2,,GSE226454_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE231992,Diet-induced obesity dysregulates rapid epigenetic response to hypoxia in macrophages (RNA-Seq),Mus musculus,GSE,1,,GSE231992_Partek_RNA-seq_BMDM_hypo_normo.txt.gz,GSE231992_Partek_RNA-seq_BMDM_hypo_normo.txt.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE232217,Tissue-specific reprogramming leads to angiogenic neutrophil specialization and tumor vascularization in colorectal cancer,Mus musculus; Homo sapiens,GSE,2,,GSE232217_RAW.tar;filelist.txt,,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE232797,mRNA and lncRNA profiling of hypoxic human pulmonary artery endothelial cells treated with siRNA-mediated knockdown of KMT2E-AS1 or KMT2E,Homo sapiens,GSE,1,,GSE232797_data_RNAseq.csv.gz,GSE232797_data_RNAseq.csv.gz,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE236162,Reactive astrocytes with inflammatory signature in CCM disease in hypoxia and normoxia conditions,Mus musculus,GSE,2,,GSE236162_3_countDFeByg.xlsx;GSE236162_4_rpkmDFeByg.xlsx,GSE236162_3_countDFeByg.xlsx,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE236163,Hypoxia increases neuroinflammation and angiogenesis gene programs in CCM disease,Mus musculus,GSE,2,,GSE236163_3_countDFeByg.txt.gz;GSE236163_4_rpkmDFeByg.txt.gz,GSE236163_3_countDFeByg.txt.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE239495,Canagliflozin mediates tumor suppression alone and in combination with radiotherapy in non-small cell lung cancer (NSCLC) through inhibition of HIF-1a,Homo sapiens,GSE,2,,GSE239495_Annotated_rlog_Normalized_DESeq2_Control_vs_CANA.xlsx;GSE239495_Annotated_rlog_Normalized_DESeq2_Control_vs_RT.xls.gz,GSE239495_Annotated_rlog_Normalized_DESeq2_Control_vs_CANA.xlsx;GSE239495_Annotated_rlog_Normalized_DESeq2_Control_vs_RT.xls.gz,True,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE239717,Bone Marrow Interstitial Light-chain Amyloid and its Microenvironment,Homo sapiens,GSE,4,,GSE239717_deseq2Out.Group1-PatientGroup1_vs_Control_Padj0.05_FCcut0_ERCut0.05.txt.gz;GSE239717_deseq2Out.Group1-PatientGroup2_vs_Control_Padj0.05_FCcut0_ERCut0.05.txt.gz;GSE239717_deseq2Out.Group1-PatientGroup2_vs_PatientGroup1_Padj0.05_FCcut0_ERCut0.05.txt.gz;GSE239717_featureCountsOut.txt.gz,GSE239717_deseq2Out.Group1-PatientGroup1_vs_Control_Padj0.05_FCcut0_ERCut0.05.txt.gz;GSE239717_deseq2Out.Group1-PatientGroup2_vs_Control_Padj0.05_FCcut0_ERCut0.05.txt.gz;GSE239717_deseq2Out.Group1-PatientGroup2_vs_PatientGroup1_Padj0.05_FCcut0_ERCut0.05.txt.gz;GSE239717_featureCountsOut.txt.gz,True,False,"""hypoxia"" ""Cuffdiff"" ""GSE"" ""Homo sapiens"""
GSE240980,"Cellular fitness of MYC-driven cancer cells to genetic and pharmacologic perturbations in normoxia, hypoxia and 3D",Mus musculus,GSE,2,,GSE240980_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE242425,Hypoxic injury triggers maladaptive repair in human kidney organoids [scRNA-seq],Homo sapiens,GSE,15,,GSE242425_D20_CMO_info.csv.gz;GSE242425_D25_CMO_info.csv.gz;GSE242425_barcode_sample.csv.gz;GSE242425_h1_d20_sample_filtered_feature_bc_matrix.h5;GSE242425_h1_d25_sample_filtered_feature_bc_matrix.h5;GSE242425_h2_d20_sample_filtered_feature_bc_matrix.h5;GSE242425_h2_d25_sample_filtered_feature_bc_matrix.h5;GSE242425_h3_d20_sample_filtered_feature_bc_matrix.h5;GSE242425_h3_d25_sample_filtered_feature_bc_matrix.h5;GSE242425_n1_d20_sample_filtered_feature_bc_matrix.h5;GSE242425_n1_d25_sample_filtered_feature_bc_matrix.h5;GSE242425_n2_d20_sample_filtered_feature_bc_matrix.h5;GSE242425_n2_d25_sample_filtered_feature_bc_matrix.h5;GSE242425_n3_d20_sample_filtered_feature_bc_matrix.h5;GSE242425_n3_d25_sample_filtered_feature_bc_matrix.h5,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE242426,Hypoxic injury triggers maladaptive repair in human kidney organoids,Homo sapiens,GSE,2,,GSE242426_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE242982,Oxygen-dependent alternative mRNA splicing and a cone-specific motor protein revealed by single-cell RNA sequencing in hypoxic retinas,Mus musculus,GSE,1,,GSE242982_seurat_object.rds.gz,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE243416,Epigenetic coordination of transcriptional and translational programs in hypoxia. [RNA-Seq],Homo sapiens,GSE,1,,GSE243416_raw_counts.txt.gz,GSE243416_raw_counts.txt.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE243418,Epigenetic coordination of transcriptional and translational programs in hypoxia.,Homo sapiens,GSE,2,,GSE243418_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE243848,RNA sequencig of glioblastoma stem cells after induction of ferroptosis,Homo sapiens,GSE,2,,GSE243848_Original_Counts.deseq2_normalized_GSC.txt.gz;GSE243848_Original_RawCounts_GSC.txt.gz,GSE243848_Original_Counts.deseq2_normalized_GSC.txt.gz;GSE243848_Original_RawCounts_GSC.txt.gz,True,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE244864,"Gene expression profile at single cell level of whole lung cells from C57BL/6J mice or global STING knock-out mice (STING-/-), exposed to either room air or chronic hypoxia (4-week 10% oxygen).",Mus musculus,GSE,2,,GSE244864_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE246406,Nuclear Acly protects liver from ischemia-reperfusion injury,Mus musculus,GSE,2,,GSE246406_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE249597,Single-cell CRISPRi transcriptome screening focusing on a subset of lncRNAs regulated by hypoxia,Homo sapiens,GSE,6,,GSE249597_RNA_HTO_Lib1_processed.tar.gz;GSE249597_RNA_HTO_Lib2_processed.tar.gz;GSE249597_gRNA_Lib1_L001_processed.tar.gz;GSE249597_gRNA_Lib1_L002_processed.tar.gz;GSE249597_gRNA_Lib2_L001_processed.tar.gz;GSE249597_gRNA_Lib2_L002_processed.tar.gz,GSE249597_RNA_HTO_Lib1_processed.tar.gz;GSE249597_RNA_HTO_Lib2_processed.tar.gz;GSE249597_gRNA_Lib1_L001_processed.tar.gz;GSE249597_gRNA_Lib1_L002_processed.tar.gz;GSE249597_gRNA_Lib2_L001_processed.tar.gz;GSE249597_gRNA_Lib2_L002_processed.tar.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE253090,HIF1α-glycolysis engages activation-induced cell death to drive IFN-γ induction in hypoxic T cells,Mus musculus,GSE,5,,GSE253090_Count.txt.gz;GSE253090_RAW.tar;GSE253090_Suppl_Table_1-Hypoxia_WT_vs_HIF1a-KO.xlsx;GSE253090_Suppl_Table_2-Normoxia_WT_vs_HIF1a-KO.xlsx;filelist.txt,GSE253090_Count.txt.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE254438,Hepatic BMAL1 and HIF1a regulate a time-dependent hypoxic response and their absence leads to Hepatopulmonary Syndrome II,Mus musculus,GSE,1,,GSE254438_AlbCRE_HLKO_BLKO_Hypoxia_RNASeq_reads.xlsx,GSE254438_AlbCRE_HLKO_BLKO_Hypoxia_RNASeq_reads.xlsx,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE255522,mRNAseq profiles of gastrocnemius of 24-day-old Nnt-wt male mouse exposed to hypoxia,Mus musculus,GSE,2,,GSE255522_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE255681,Impact of Nfat5 on normoxia- and hypoxia-exposed mouse lung endothelial cells,Mus musculus,GSE,2,,GSE255681_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE255769,Polyamine-dependent metabolic shielding regulates alternative splicing,Homo sapiens; Mus musculus,GSE,10,,GSE255769_INCLUSION_LEVELS_FULL-hg38-12_DU145_sh4AMD1_CK2i.tab.gz;GSE255769_INCLUSION_LEVELS_FULL-hg38-16_DU145_Hypoxia_Plad.tab.gz;GSE255769_INCLUSION_LEVELS_FULL-hg38-16_DU145_shAMD_siSF3A3.tab.gz;GSE255769_INCLUSION_LEVELS_FULL-hg38-20_DU145_Polyamines.tab.gz;GSE255769_INCLUSION_LEVELS_FULL-hg38-8_DU145_shAMD.tab.gz;GSE255769_INCLUSION_LEVELS_FULL-hg38-8_HeLa_siAMD.tab.gz;GSE255769_INCLUSION_LEVELS_FULL-mm10-10_Gastro_SAM486A.tab.gz;GSE255769_INCLUSION_LEVELS_FULL-mm10-12_MEF_kiSF3A3.tab.gz;GSE255769_INCLUSION_LEVELS_FULL_mm10-12_MESC_SAM486A_DFMO.tab.gz;GSE255769_INCLUSION_LEVELS_FULL_mm10-24_ESC_SAM486A_DFMO.tab.gz,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens | hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE261224,Brain endothelial cells with inflammatory signature in CCM disease in hypoxia and normoxia conditions,Mus musculus,GSE,2,,GSE261224_BEC_RPKM_countDFeByg.csv.gz;GSE261224_BEC_countDFeByg.csv.gz,GSE261224_BEC_RPKM_countDFeByg.csv.gz;GSE261224_BEC_countDFeByg.csv.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE261425,Vascular damage and axcessive proliferation compromise liver function after extended hepatectomy in mice,Mus musculus,GSE,1,,GSE261425_normalized_counts_byDESeq.txt.gz,GSE261425_normalized_counts_byDESeq.txt.gz,True,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE263916,Hypoxic stabilization of RIPOR3 mRNA via METTL3-mediated m6A RNA methylation drives breast tumor growth and metastasis [RNA-seq],Homo sapiens,GSE,1,,GSE263916_RNA-seq_raw_counts.csv.gz,GSE263916_RNA-seq_raw_counts.csv.gz,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE266442,Long-term adaptation of lymphoma cells to hypoxia is mediated by diverse molecular mechanisms that are targetable with specific inhibitors,Homo sapiens,GSE,2,,GSE266442_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE268827,scramble control and Hif-1a knockdown mESCs cultured under normoxia and two-day hypoxia,Mus musculus,GSE,2,,GSE268827_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE268842,Transcriptional differences in suspended breast cancer cells exposed to hypoxia.,Homo sapiens,GSE,2,,GSE268842_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE269141,Hypoxia-inducible Factor 1α Mediated Lactylation to Enhance Inflammatory Response during Hypoxia induced lung dysfunction [RNA-seq],Mus musculus,GSE,1,,GSE269141_genes.rawcount.anno.xlsx,GSE269141_genes.rawcount.anno.xlsx,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE269336,BMAL1-HIF2α heterodimers contribute to ccRCC [RNA-seq_Fig2],Homo sapiens,GSE,1,,GSE269336_786O_Fig2_rawcounts.txt.gz,GSE269336_786O_Fig2_rawcounts.txt.gz,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE269340,BMAL1-HIF2α heterodimers contribute to ccRCC [RNA-seq_FigS6],Homo sapiens,GSE,1,,GSE269340_A498_FigS6_rawcounts.txt.gz,GSE269340_A498_FigS6_rawcounts.txt.gz,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE269418,Effect of the sGC activator BAY 60-2770 on human proximal tubular (HK-2) cells under hypoxia and after TGF-β1 treatment,Homo sapiens,GSE,1,,GSE269418_raw_counts.txt.gz,GSE269418_raw_counts.txt.gz,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE269699,Hypoxia drives HIF2-dependent reversible macrophagecellcycle entry,Homo sapiens,GSE,2,,GSE269699_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE269892,Redistribution of SOD3 expression due to R213G polymorphism affects pulmonary interstitial macrophage reprogramming in response to hypoxia,Mus musculus,GSE,1,,GSE269892_normalized_counts.xlsx,GSE269892_normalized_counts.xlsx,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE270358,Hypoxia-Driven Ribosome Biogenesis: Unveiling a Novel Regulatory Role of HIF1α in Breast Cancer Progression and Metastasis [SUM1315_Hypoxia_RNA-seq],Homo sapiens,GSE,1,,GSE270358_TLS789131415summarized.txt.gz,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE270359,Hypoxia-Driven Ribosome Biogenesis: Unveiling a Novel Regulatory Role of HIF1α in Breast Cancer Progression and Metastasis [Polysome_RNA-seq],Homo sapiens,GSE,1,,GSE270359_13SKT47summarized.txt.gz,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Homo sapiens"
GSE270903,Hypoxic Memory Mediates Prolonged Tumor Intrinsic Type I Interferon Suppression to Promote Breast Cancer Progression,Homo sapiens; Mus musculus,GSE,2,,GSE270903_RAW.tar;filelist.txt,,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
GSE271151,SerpinA3N limits cartilage destruction in osteoarthritis by inhibiting macrophage-derives leukocyte elastase,Mus musculus,GSE,1,,GSE271151_All_genes_counts.xlsx,GSE271151_All_genes_counts.xlsx,False,False,"hypoxia normoxia ""Expression profiling by high throughput sequencing"" Mus musculus"
